,Name,Cat,Dog,Intact Female,Intact Male,Neutered Male,Spayed Female,OutcomeType_label
275,1,0,1,0,0,0,1,3
276,1,0,1,0,0,1,0,0
277,0,1,0,1,0,0,0,4
278,1,0,1,0,0,1,0,0
279,0,1,0,1,0,0,0,4
280,0,1,0,0,0,0,0,4
281,0,1,0,0,0,0,1,4
282,0,0,1,0,0,0,1,0
283,0,0,1,0,1,0,0,4
284,1,1,0,0,0,0,1,0
285,1,1,0,0,0,1,0,3
286,1,0,1,0,1,0,0,3
287,1,0,1,0,0,1,0,3
288,1,0,1,0,0,1,0,0
289,1,0,1,0,0,0,1,4
290,1,0,1,0,0,1,0,0
291,1,0,1,0,0,1,0,0
292,1,1,0,1,0,0,0,4
293,1,0,1,0,0,1,0,0
294,0,1,0,1,0,0,0,2
295,1,0,1,0,0,1,0,2
296,1,1,0,0,0,1,0,0
297,1,1,0,0,0,0,1,0
298,1,0,1,0,0,0,1,0
299,0,1,0,0,0,0,1,0
300,0,0,1,0,1,0,0,2
301,1,0,1,0,0,1,0,3
302,1,0,1,0,0,0,1,4
303,0,0,1,0,0,0,1,4
304,0,0,1,0,0,1,0,4
305,1,1,0,0,0,1,0,0
306,0,0,1,0,0,1,0,4
307,0,0,1,0,0,0,1,0
308,1,1,0,0,0,1,0,0
309,1,1,0,0,0,1,0,0
310,1,1,0,0,0,1,0,3
311,1,0,1,0,0,1,0,0
312,0,0,1,0,1,0,0,4
313,0,1,0,1,0,0,0,4
314,1,1,0,0,0,0,1,0
315,1,0,1,0,0,1,0,0
316,1,1,0,0,0,1,0,4
317,1,0,1,0,0,0,1,0
318,0,1,0,1,0,0,0,4
319,0,0,1,0,0,0,1,4
320,1,0,1,0,0,0,1,3
321,0,1,0,0,1,0,0,4
322,1,1,0,1,0,0,0,4
323,1,0,1,0,0,1,0,0
324,1,0,1,0,0,1,0,3
325,0,0,1,0,0,1,0,0
326,0,1,0,0,1,0,0,4
327,1,0,1,0,0,0,1,0
328,1,0,1,0,0,0,1,0
329,1,0,1,0,0,1,0,0
330,0,1,0,0,0,0,0,4
331,0,0,1,0,0,0,1,0
332,0,1,0,0,0,0,1,0
333,1,1,0,0,0,1,0,3
334,0,0,1,0,0,0,1,4
335,1,0,1,0,0,1,0,0
336,0,1,0,0,1,0,0,4
337,1,0,1,0,1,0,0,4
338,1,0,1,0,0,0,1,0
339,0,1,0,1,0,0,0,4
340,1,1,0,0,1,0,0,4
341,0,1,0,1,0,0,0,4
342,1,1,0,1,0,0,0,0
343,1,0,1,1,0,0,0,3
344,0,0,1,0,0,1,0,0
345,0,1,0,0,1,0,0,4
346,0,1,0,0,0,0,1,0
347,0,1,0,0,1,0,0,4
348,1,1,0,0,0,0,1,0
349,1,0,1,0,0,1,0,0
350,1,0,1,0,0,0,1,3
351,0,1,0,1,0,0,0,4
352,1,1,0,0,0,0,1,0
353,0,0,1,0,0,0,1,0
354,0,0,1,0,0,1,0,4
355,1,0,1,0,0,0,1,0
356,0,1,0,0,1,0,0,4
357,1,0,1,0,0,1,0,3
358,1,1,0,0,0,0,1,0
359,1,0,1,0,0,0,1,0
360,1,0,1,0,0,0,1,4
361,1,1,0,0,0,1,0,0
362,1,1,0,0,0,1,0,2
363,1,0,1,1,0,0,0,4
364,1,1,0,0,0,0,1,4
365,1,0,1,0,0,0,1,0
366,1,0,1,1,0,0,0,3
367,1,0,1,0,0,0,1,0
368,0,0,1,0,0,1,0,4
369,1,1,0,0,0,0,1,0
370,0,0,1,0,0,0,0,4
371,1,0,1,0,0,0,1,3
372,1,1,0,0,0,0,1,0
373,1,0,1,0,0,1,0,2
374,1,0,1,0,0,1,0,3
375,1,0,1,0,0,1,0,4
376,1,1,0,0,0,1,0,0
377,1,0,1,0,0,0,1,3
378,1,0,1,0,0,0,1,0
379,1,0,1,0,0,1,0,0
380,1,1,0,0,0,1,0,0
381,0,1,0,0,0,1,0,0
382,1,0,1,0,1,0,0,4
383,1,1,0,0,0,1,0,4
384,1,0,1,0,0,0,1,4
385,1,0,1,0,1,0,0,2
386,0,1,0,0,1,0,0,4
387,0,1,0,0,0,0,0,4
388,0,1,0,1,0,0,0,4
389,1,0,1,0,0,0,1,4
390,1,0,1,0,0,1,0,0
391,0,1,0,0,1,0,0,4
392,0,0,1,0,0,1,0,0
393,1,0,1,0,1,0,0,3
394,1,0,1,0,0,1,0,0
395,1,1,0,1,0,0,0,2
396,1,0,1,0,0,1,0,0
397,0,1,0,0,0,1,0,4
398,0,0,1,0,0,1,0,4
399,1,0,1,0,1,0,0,3
400,1,0,1,0,0,1,0,4
401,1,1,0,0,1,0,0,4
402,1,0,1,0,0,0,1,0
403,0,0,1,0,0,1,0,4
404,1,0,1,0,0,0,1,3
405,1,0,1,0,0,1,0,0
406,1,0,1,0,0,0,1,0
407,0,0,1,0,0,1,0,0
408,1,0,1,0,0,1,0,0
409,1,0,1,1,0,0,0,4
410,1,0,1,0,0,0,1,0
411,1,0,1,0,0,0,1,3
412,1,1,0,0,1,0,0,0
413,1,0,1,0,0,0,1,3
414,1,0,1,0,0,1,0,3
415,0,0,1,0,0,1,0,0
416,1,1,0,0,0,0,1,2
417,0,1,0,0,0,1,0,4
418,1,0,1,1,0,0,0,2
419,1,1,0,1,0,0,0,2
420,1,1,0,0,0,1,0,0
421,1,0,1,0,0,1,0,0
422,1,0,1,0,0,1,0,3
423,0,1,0,1,0,0,0,4
424,1,1,0,0,0,1,0,0
425,1,1,0,0,0,0,1,0
426,0,0,1,0,0,0,1,0
427,1,0,1,0,0,0,1,0
428,1,0,1,1,0,0,0,3
429,1,1,0,0,0,0,1,0
430,1,1,0,0,0,1,0,0
431,1,1,0,0,0,0,1,4
432,1,1,0,0,0,0,1,0
433,0,1,0,1,0,0,0,4
434,0,1,0,0,0,0,1,0
435,1,1,0,0,0,0,1,0
436,1,1,0,0,0,1,0,4
437,1,1,0,1,0,0,0,4
438,1,0,1,0,0,0,1,2
439,0,0,1,0,1,0,0,4
440,0,0,1,0,0,0,1,3
441,1,0,1,0,0,1,0,0
442,1,0,1,0,1,0,0,3
443,1,0,1,0,1,0,0,0
444,0,1,0,0,0,1,0,0
445,1,0,1,0,0,1,0,3
446,0,0,1,0,1,0,0,3
447,1,1,0,0,0,0,1,3
448,0,0,1,0,1,0,0,4
449,1,0,1,0,1,0,0,2
450,1,0,1,0,0,1,0,3
451,1,0,1,0,0,0,1,3
452,0,1,0,0,0,0,1,0
453,1,0,1,0,0,1,0,3
454,0,1,0,1,0,0,0,0
455,1,0,1,0,0,1,0,0
456,1,0,1,1,0,0,0,4
457,1,0,1,0,0,1,0,2
458,0,1,0,0,0,0,0,4
459,0,1,0,1,0,0,0,4
460,1,0,1,0,0,0,1,3
461,1,1,0,0,0,1,0,0
462,1,1,0,0,0,1,0,0
463,0,1,0,0,0,1,0,2
464,0,0,1,0,0,0,0,4
465,1,0,1,0,0,1,0,3
466,1,0,1,0,0,0,1,3
467,1,0,1,0,0,0,1,3
468,0,1,0,1,0,0,0,4
469,1,0,1,0,0,1,0,3
470,1,0,1,0,0,1,0,4
471,1,0,1,0,0,1,0,0
472,1,0,1,0,0,1,0,3
473,0,1,0,0,0,0,0,4
474,0,1,0,0,1,0,0,2
475,0,0,1,0,0,0,1,0
476,1,1,0,0,0,0,1,3
477,1,0,1,0,0,1,0,3
478,1,0,1,0,1,0,0,3
479,1,0,1,0,0,0,1,3
480,0,1,0,0,0,1,0,3
481,1,0,1,0,0,0,1,3
482,1,1,0,0,0,0,1,0
483,0,1,0,0,0,0,0,4
484,1,1,0,0,1,0,0,0
485,1,0,1,0,0,1,0,0
486,1,1,0,0,0,0,1,0
487,0,1,0,0,1,0,0,4
488,1,0,1,0,0,1,0,4
489,1,1,0,0,0,1,0,0
490,1,0,1,0,0,0,1,0
491,0,1,0,1,0,0,0,4
492,1,0,1,0,0,1,0,3
493,0,0,1,1,0,0,0,4
494,1,0,1,0,0,0,1,3
495,1,0,1,0,0,0,1,0
496,1,0,1,0,0,0,1,0
497,1,0,1,0,1,0,0,4
498,1,0,1,1,0,0,0,3
499,1,0,1,0,0,1,0,3
500,0,1,0,0,1,0,0,4
501,1,0,1,0,0,1,0,4
502,1,0,1,0,0,0,1,3
503,1,1,0,0,1,0,0,0
504,1,1,0,0,0,1,0,3
505,1,0,1,1,0,0,0,3
506,1,0,1,0,0,1,0,0
507,0,1,0,1,0,0,0,4
508,0,1,0,0,0,0,0,4
509,0,1,0,0,0,0,0,4
510,1,0,1,0,0,0,1,3
511,0,1,0,1,0,0,0,4
512,1,1,0,0,0,0,1,3
513,1,1,0,1,0,0,0,4
514,1,0,1,0,0,1,0,3
515,1,1,0,0,0,1,0,3
516,1,0,1,0,0,1,0,3
517,1,0,1,0,1,0,0,4
518,1,0,1,0,0,0,1,3
519,1,0,1,0,0,0,1,0
520,1,0,1,0,0,1,0,0
521,1,1,0,0,0,1,0,0
522,0,0,1,0,0,0,0,2
523,1,0,1,0,0,1,0,0
524,1,1,0,0,0,0,1,0
525,0,1,0,0,1,0,0,2
526,1,0,1,0,0,0,1,3
527,0,0,1,0,1,0,0,4
528,1,1,0,0,0,1,0,0
529,1,1,0,0,0,1,0,0
530,1,1,0,1,0,0,0,4
531,1,0,1,0,0,1,0,3
532,1,1,0,0,0,1,0,4
533,1,0,1,0,0,0,1,4
534,1,1,0,0,0,0,1,0
535,1,1,0,0,0,1,0,0
536,1,0,1,0,0,1,0,4
537,1,0,1,0,0,1,0,3
538,0,1,0,0,0,1,0,2
539,1,0,1,0,0,1,0,2
540,0,1,0,0,0,1,0,0
541,0,0,1,0,0,0,1,0
542,0,1,0,0,0,0,0,2
543,0,0,1,0,0,1,0,0
544,1,1,0,0,0,1,0,0
545,0,1,0,0,0,0,1,4
546,1,1,0,0,0,1,0,3
547,1,0,1,0,0,1,0,3
548,0,0,1,0,0,0,1,0
549,1,1,0,1,0,0,0,4
550,1,0,1,0,0,0,1,0
551,1,1,0,0,0,0,1,0
552,1,1,0,0,0,1,0,3
553,1,1,0,0,1,0,0,1
554,1,0,1,0,0,1,0,0
555,1,1,0,1,0,0,0,4
556,1,0,1,0,0,0,1,0
557,1,1,0,0,0,1,0,4
558,0,1,0,0,0,0,0,4
559,0,0,1,1,0,0,0,4
560,1,1,0,0,0,1,0,0
561,1,1,0,0,0,0,1,0
562,0,1,0,0,1,0,0,2
563,0,0,1,1,0,0,0,4
564,1,0,1,0,0,0,1,4
565,1,1,0,0,0,0,1,0
566,0,1,0,0,1,0,0,1
567,1,0,1,0,0,0,1,0
568,1,0,1,0,0,0,1,0
569,1,0,1,0,0,1,0,3
570,1,0,1,0,1,0,0,3
571,1,0,1,0,0,0,1,3
572,1,0,1,0,0,0,1,0
573,1,1,0,0,0,0,1,0
574,1,0,1,0,0,0,1,0
575,1,0,1,0,0,0,1,0
576,0,1,0,0,0,0,0,4
577,1,0,1,0,0,1,0,0
578,0,1,0,0,0,1,0,4
579,1,0,1,0,0,1,0,0
580,1,1,0,0,0,1,0,0
581,0,1,0,0,1,0,0,4
582,1,1,0,0,0,1,0,4
583,1,0,1,0,0,1,0,0
584,1,1,0,0,0,1,0,4
585,1,0,1,0,0,0,1,3
586,1,0,1,0,0,1,0,3
587,1,0,1,1,0,0,0,3
588,0,0,1,0,0,0,1,0
589,1,0,1,0,1,0,0,2
590,1,0,1,0,0,0,1,3
591,1,0,1,0,0,1,0,0
592,1,1,0,0,0,1,0,0
593,0,0,1,1,0,0,0,4
594,1,0,1,0,0,0,1,0
595,1,0,1,0,0,1,0,0
596,1,1,0,0,0,0,1,0
597,1,1,0,0,0,1,0,0
598,1,0,1,0,0,0,1,3
599,1,0,1,1,0,0,0,0
600,0,0,1,1,0,0,0,4
601,1,0,1,0,0,1,0,4
602,0,1,0,0,0,0,0,4
603,0,1,0,0,1,0,0,4
604,0,1,0,1,0,0,0,4
605,1,0,1,0,0,0,1,4
606,1,1,0,0,0,0,1,3
607,0,0,1,0,0,1,0,0
608,1,1,0,0,0,0,1,0
609,0,0,1,0,1,0,0,2
610,1,0,1,0,0,0,1,0
611,1,0,1,0,0,1,0,0
612,0,1,0,0,0,0,0,4
613,0,1,0,0,0,0,0,4
614,0,0,1,0,0,0,1,0
615,1,0,1,0,0,1,0,3
616,1,1,0,0,0,1,0,0
617,1,0,1,1,0,0,0,4
618,1,0,1,0,0,1,0,3
619,0,1,0,0,1,0,0,4
620,1,1,0,0,0,0,1,0
621,0,0,1,0,0,1,0,2
622,1,1,0,0,0,0,1,0
623,0,1,0,1,0,0,0,4
624,0,0,1,0,0,0,1,0
625,0,0,1,0,1,0,0,2
626,1,0,1,0,0,1,0,4
627,1,1,0,0,0,1,0,4
628,1,0,1,0,0,1,0,3
629,1,0,1,0,0,1,0,0
630,0,0,1,1,0,0,0,4
631,0,1,0,0,0,1,0,0
632,0,1,0,0,1,0,0,4
633,1,1,0,0,0,1,0,4
634,1,1,0,0,0,1,0,0
635,1,0,1,0,0,1,0,3
636,1,0,1,0,0,1,0,0
637,1,0,1,0,0,0,1,0
638,1,0,1,0,0,0,1,0
639,1,1,0,0,0,1,0,0
640,1,0,1,0,0,1,0,3
641,0,0,1,0,0,1,0,0
642,1,0,1,0,1,0,0,4
643,1,0,1,1,0,0,0,3
644,1,0,1,0,0,0,1,4
645,1,0,1,0,0,0,1,0
646,1,0,1,0,1,0,0,4
647,1,0,1,1,0,0,0,4
648,1,0,1,0,0,0,1,0
649,1,0,1,0,0,1,0,0
650,1,1,0,0,0,0,1,2
651,1,0,1,0,0,1,0,4
652,1,0,1,0,0,1,0,0
653,1,1,0,0,0,0,1,0
654,1,0,1,0,0,0,1,3
655,1,0,1,0,0,0,1,0
656,1,1,0,0,0,0,1,4
657,0,0,1,0,0,0,1,0
658,0,1,0,0,0,0,0,4
659,1,1,0,0,0,1,0,4
660,1,1,0,0,0,1,0,0
661,1,1,0,0,0,0,1,0
662,1,0,1,0,0,0,1,2
663,1,0,1,0,0,1,0,3
664,1,1,0,0,0,0,1,0
665,1,1,0,0,1,0,0,4
666,0,1,0,0,1,0,0,4
667,1,1,0,0,0,1,0,0
668,1,1,0,1,0,0,0,0
669,1,0,1,0,0,0,1,0
670,1,1,0,0,0,1,0,2
671,1,0,1,0,0,0,1,2
672,0,1,0,1,0,0,0,4
673,1,0,1,0,0,1,0,3
674,1,1,0,1,0,0,0,2
675,1,0,1,0,0,0,1,0
676,0,0,1,1,0,0,0,4
677,1,0,1,0,0,0,1,4
678,1,0,1,0,0,0,1,0
679,1,0,1,0,0,1,0,4
680,1,0,1,0,0,1,0,2
681,1,1,0,0,0,0,1,0
682,0,1,0,1,0,0,0,4
683,1,1,0,1,0,0,0,4
684,1,1,0,0,0,1,0,0
685,1,1,0,0,0,1,0,0
686,1,1,0,0,0,1,0,0
687,1,1,0,0,0,1,0,0
688,1,0,1,0,0,0,1,0
689,1,1,0,0,0,0,1,0
690,1,1,0,0,0,0,1,0
691,1,1,0,0,0,0,1,0
692,1,0,1,0,0,0,1,3
693,1,0,1,0,0,1,0,3
694,1,1,0,1,0,0,0,4
695,1,0,1,0,0,1,0,3
696,1,0,1,0,0,1,0,4
697,0,1,0,0,0,1,0,0
698,1,0,1,0,0,1,0,3
699,1,0,1,0,0,1,0,3
700,1,0,1,0,1,0,0,4
701,1,1,0,0,0,0,1,4
702,1,1,0,0,0,1,0,0
703,1,0,1,0,0,1,0,3
704,1,0,1,0,0,0,1,0
705,1,1,0,0,0,1,0,2
706,1,0,1,0,0,1,0,3
707,0,1,0,1,0,0,0,4
708,1,1,0,0,0,0,1,0
709,1,1,0,0,0,1,0,0
710,1,0,1,0,0,1,0,4
711,1,1,0,0,1,0,0,4
712,1,0,1,0,1,0,0,3
713,0,1,0,1,0,0,0,4
714,1,1,0,0,0,0,1,4
715,1,0,1,0,0,1,0,4
716,1,0,1,0,0,0,1,3
717,1,0,1,0,0,0,1,3
718,1,1,0,0,0,1,0,4
719,1,1,0,0,0,0,1,0
720,1,1,0,0,0,0,1,0
721,1,0,1,0,0,0,1,3
722,0,1,0,0,1,0,0,2
723,1,0,1,0,0,1,0,0
724,0,1,0,0,1,0,0,4
725,1,0,1,0,0,1,0,4
726,0,1,0,0,1,0,0,4
727,1,0,1,0,0,1,0,0
728,1,0,1,0,0,1,0,2
729,1,0,1,0,0,1,0,0
730,1,0,1,0,0,1,0,4
731,1,0,1,0,0,1,0,0
732,1,0,1,1,0,0,0,4
733,1,1,0,0,0,1,0,3
734,1,0,1,0,0,0,1,4
735,1,0,1,0,0,0,1,0
736,1,1,0,0,1,0,0,4
737,0,1,0,0,0,1,0,0
738,0,0,1,0,0,0,0,4
739,1,0,1,0,0,0,1,0
740,1,0,1,0,0,1,0,2
741,0,0,1,1,0,0,0,4
742,1,0,1,0,0,0,1,0
743,0,0,1,0,0,0,1,4
744,1,0,1,0,0,1,0,0
745,1,0,1,1,0,0,0,4
746,1,0,1,0,0,1,0,0
747,0,1,0,0,0,1,0,0
748,1,0,1,0,0,0,1,0
749,1,1,0,0,0,1,0,0
750,1,0,1,1,0,0,0,3
751,1,0,1,0,1,0,0,4
752,1,0,1,0,0,1,0,3
753,0,1,0,0,1,0,0,4
754,0,1,0,1,0,0,0,4
755,1,1,0,0,0,0,1,4
756,1,1,0,0,0,0,1,0
757,1,1,0,0,0,0,1,0
758,1,1,0,0,0,1,0,3
759,1,1,0,0,0,0,1,0
760,0,0,1,1,0,0,0,4
761,0,1,0,0,1,0,0,4
762,1,0,1,0,0,1,0,0
763,1,1,0,0,0,1,0,3
764,1,1,0,0,1,0,0,4
765,1,1,0,0,0,1,0,0
766,1,0,1,1,0,0,0,4
767,1,1,0,0,0,0,1,0
768,0,1,0,1,0,0,0,4
769,1,1,0,0,0,1,0,4
770,1,0,1,0,0,1,0,4
771,1,0,1,0,0,1,0,2
